Before erosion ID,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
273,0.06493362,4,273,Not eroded,0,0,0,0,0,0,0,0,0,1,1
274,0.07171246,6,274,Not eroded,0,0,0,0,0,0,0,0,0,0,0
275,0.2896594,7,275,Not eroded,0,1,1,1,1,1,0,0,0,0,0
276,0.2311621,4,276,Not eroded,0,1,1,1,0,0,0,0,0,1,1
277,0.202279,4,277,Not eroded,0,1,0,0,0,0,0,0,0,1,1
278,0.2585711,6,278,Not eroded,0,1,1,1,1,1,0,0,0,0,0
279,0.1595964,2,279,Not eroded,0,0,0,0,0,0,1,0,1,1,1
280,0.1756434,4,280,Not eroded,0,0,0,0,0,0,0,0,0,1,1
281,0.2897707,0,281,ERODED,1,1,1,1,1,1,1,1,1,1,1
282,0.2754852,0,282,ERODED,1,1,1,1,1,1,1,1,1,1,1
284,0.1444743,4,284,Not eroded,0,0,0,0,0,0,0,0,0,1,1
285,0.1302988,0,285,Not eroded,0,0,0,0,0,0,1,1,1,1,1
287,0.1470297,2,287,Not eroded,0,0,0,0,0,0,1,0,1,1,1
288,0.2590152,5,288,Not eroded,0,1,1,1,1,1,0,0,0,0,1
289,0.2835149,3,289,Not eroded,0,1,1,1,1,1,1,0,0,1,1
290,0.1487953,4,290,Not eroded,0,0,0,0,0,0,0,0,0,1,1
291,0.2058526,4,291,Not eroded,0,1,0,0,0,0,0,0,0,1,1
292,0.2729162,0,292,ERODED,1,1,1,1,1,1,1,1,1,1,1
293,0.06651795,3,293,Not eroded,0,0,0,0,0,0,1,0,0,1,1
294,0.3247422,0,294,ERODED,1,1,1,1,1,1,1,1,1,1,1
295,0.1868179,5,295,Not eroded,0,0,0,0,0,0,0,0,0,0,1
296,0.07921296,4,296,Not eroded,0,0,0,0,0,0,0,0,0,1,1
297,0.2589399,0,297,ERODED,1,1,1,1,1,1,1,1,1,1,1
298,0.1073304,5,298,Not eroded,0,0,0,0,0,0,0,0,0,0,1
299,0.3208476,0,299,ERODED,1,1,1,1,1,1,1,1,1,1,1
300,0.168896,2,300,Not eroded,0,0,0,0,0,0,1,0,1,1,1
301,0.09524234,5,301,Not eroded,0,0,0,0,0,0,0,0,0,0,1
302,0.1202057,2,302,Not eroded,0,0,0,0,0,0,1,0,1,1,1
303,0.1936312,4,303,Not eroded,0,1,0,0,0,0,0,0,0,1,1
304,0.2591875,0,304,ERODED,1,1,1,1,1,1,1,1,1,1,1
306,0.1405411,6,306,Not eroded,0,0,0,0,0,0,0,0,0,0,0
307,0.287583,3,307,Not eroded,0,1,1,1,1,1,1,0,0,1,1
308,0.1453711,5,308,Not eroded,0,0,0,0,0,0,0,0,0,0,1
309,0.1746222,0,309,Not eroded,0,0,0,0,0,0,1,1,1,1,1
310,0.09741468,4,310,Not eroded,0,0,0,0,0,0,0,0,0,1,1
311,0.2205902,0,311,Not eroded,0,1,1,0,0,0,1,1,1,1,1
312,0.1554086,5,312,Not eroded,0,0,0,0,0,0,0,0,0,0,1
313,0.148902,4,313,Not eroded,0,0,0,0,0,0,0,0,0,1,1
314,0.2476576,4,314,Not eroded,0,1,1,1,1,0,0,0,0,1,1
317,0.1022158,4,317,Not eroded,0,0,0,0,0,0,0,0,0,1,1
318,0.1710989,4,318,Not eroded,0,0,0,0,0,0,0,0,0,1,1
320,0.1606756,6,320,Not eroded,0,0,0,0,0,0,0,0,0,0,0
321,0.05626913,3,321,Not eroded,0,0,0,0,0,0,1,0,0,1,1
322,0.1861131,3,322,Not eroded,0,0,0,0,0,0,1,0,0,1,1
323,0.05682297,2,323,Not eroded,0,0,0,0,0,0,1,0,1,1,1
324,0.2792132,3,324,Not eroded,0,1,1,1,1,1,1,0,0,1,1
325,0.1854789,5,325,Not eroded,0,0,0,0,0,0,0,0,0,0,1
326,0.2120198,3,326,Not eroded,0,1,0,0,0,0,1,0,0,1,1
327,0.185058,7,327,Not eroded,0,0,0,0,0,0,0,0,0,0,0
328,0.1933195,0,328,Not eroded,0,1,0,0,0,0,1,1,1,1,1
329,0.2489263,3,329,Not eroded,0,1,1,1,1,0,1,0,0,1,1
330,0.1669459,3,330,Not eroded,0,0,0,0,0,0,1,0,0,1,1
331,0.2191062,4,331,Not eroded,0,1,0,0,0,0,0,0,0,1,1
332,0.05627129,3,332,Not eroded,0,0,0,0,0,0,1,0,0,1,1
333,0.2560103,0,333,Not eroded,0,1,1,1,1,1,1,1,1,1,1
334,0.1249661,6,334,Not eroded,0,0,0,0,0,0,0,0,0,0,0
335,0.1032206,3,335,Not eroded,0,0,0,0,0,0,1,0,0,1,1
336,0.1903437,0,336,Not eroded,0,0,0,0,0,0,1,1,1,1,1
337,0.1877,4,337,Not eroded,0,0,0,0,0,0,0,0,0,1,1
338,0.2651377,2,338,Not eroded,0,1,1,1,1,1,1,0,1,1,1
339,0.1780105,4,339,Not eroded,0,0,0,0,0,0,0,0,0,1,1
343,0.08927102,5,343,Not eroded,0,0,0,0,0,0,0,0,0,0,1
345,0.115054,4,345,Not eroded,0,0,0,0,0,0,0,0,0,1,1
346,0.1971462,0,346,Not eroded,0,1,0,0,0,0,1,1,1,1,1
347,0.2398509,0,347,ERODED,1,1,1,1,0,0,1,1,1,1,1
348,0.2925694,0,348,Not eroded,0,1,1,1,1,1,1,1,1,1,1
349,0.2352175,0,349,Not eroded,0,1,1,1,0,0,1,1,1,1,1
350,0.174124,4,350,Not eroded,0,0,0,0,0,0,0,0,0,1,1
352,0.07311666,6,352,Not eroded,0,0,0,0,0,0,0,0,0,0,0
353,0.06431219,4,353,Not eroded,0,0,0,0,0,0,0,0,0,1,1
354,0.1628821,0,354,Not eroded,0,0,0,0,0,0,1,1,1,1,1
355,0.1114393,0,355,Not eroded,0,0,0,0,0,0,1,1,1,1,1
356,0.1636652,3,356,Not eroded,0,0,0,0,0,0,1,0,0,1,1
357,0.2359694,0,357,Not eroded,0,1,1,1,0,0,1,1,1,1,1
358,0.08153018,2,358,Not eroded,0,0,0,0,0,0,1,0,1,1,1
360,0.2885415,5,360,Not eroded,0,1,1,1,1,1,0,0,0,0,1
361,0.2468447,0,361,ERODED,1,1,1,1,1,0,1,1,1,1,1
362,0.2708963,4,362,Not eroded,0,1,1,1,1,1,0,0,0,1,1
363,0.200512,4,363,Not eroded,0,1,0,0,0,0,0,0,0,1,1
364,0.2100955,3,364,Not eroded,0,1,0,0,0,0,1,0,0,1,1
366,0.2360663,0,366,Not eroded,0,1,1,1,0,0,1,1,1,1,1
367,0.3247861,0,367,ERODED,1,1,1,1,1,1,1,1,1,1,1
368,0.3065402,0,368,ERODED,1,1,1,1,1,1,1,1,1,1,1
370,0.2545188,4,370,Not eroded,0,1,1,1,1,1,0,0,0,1,1
