Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity
787,1.44E-01,5.86E-02,2.97E-01,0,787,ERODED,1,1,1,1,1,1,1,1,1,1,1
789,2.89E-01,2.95E-01,2.57E-01,0,789,Not eroded,0,1,1,1,1,1,1,1,1,1,1
790,3.11E-01,2.64E-01,2.84E-01,0,790,Not eroded,0,1,1,1,1,1,1,1,1,1,1
791,1.48E-01,6.16E-02,2.59E-01,5,791,Not eroded,0,1,1,1,1,1,0,0,0,0,1
792,5.63E-02,2.47E-01,3.27E-01,0,792,ERODED,1,1,1,1,1,1,1,1,1,1,1
794,2.92E-01,1.18E-01,2.64E-01,0,794,Not eroded,0,1,1,1,1,1,1,1,1,1,1
798,2.89E-01,7.54E-02,3.20E-01,0,798,ERODED,1,1,1,1,1,1,1,1,1,1,1
799,2.58E-01,2.93E-01,2.96E-01,0,799,ERODED,1,1,1,1,1,1,1,1,1,1,1
800,3.05E-01,1.81E-01,2.41E-01,5,800,Not eroded,0,1,1,1,1,0,0,0,0,0,1
801,1.50E-01,5.64E-02,2.68E-01,4,801,Not eroded,0,1,1,1,1,1,0,0,0,1,1
802,2.38E-01,7.88E-02,3.10E-01,0,802,ERODED,1,1,1,1,1,1,1,1,1,1,1
804,3.05E-01,1.64E-01,2.98E-01,0,804,ERODED,1,1,1,1,1,1,1,1,1,1,1
807,1.57E-01,2.73E-01,2.63E-01,0,807,Not eroded,0,1,1,1,1,1,1,1,1,1,1
808,2.53E-01,1.66E-01,2.93E-01,0,808,ERODED,1,1,1,1,1,1,1,1,1,1,1
812,2.88E-01,2.78E-01,2.71E-01,4,812,Not eroded,0,1,1,1,1,1,0,0,0,1,1
822,2.89E-01,3.16E-01,2.70E-01,0,822,ERODED,1,1,1,1,1,1,1,1,1,1,1
823,1.60E-01,5.66E-02,2.71E-01,0,823,Not eroded,0,1,1,1,1,1,1,1,1,1,1
834,2.91E-01,3.13E-01,2.80E-01,0,834,Not eroded,0,1,1,1,1,1,1,1,1,1,1
845,3.17E-01,1.34E-01,2.92E-01,0,845,Not eroded,0,1,1,1,1,1,1,1,1,1,1
846,3.18E-01,1.63E-01,3.15E-01,0,846,ERODED,1,1,1,1,1,1,1,1,1,1,1
847,7.07E-02,1.26E-01,2.77E-01,0,847,Not eroded,0,1,1,1,1,1,1,1,1,1,1
849,3.04E-01,1.75E-01,3.17E-01,0,849,ERODED,1,1,1,1,1,1,1,1,1,1,1
853,2.87E-01,8.44E-02,3.10E-01,3,853,Not eroded,0,1,1,1,1,1,1,0,0,1,1
856,2.72E-01,9.46E-02,2.47E-01,6,856,Not eroded,0,1,1,1,1,0,0,0,0,0,0
865,6.85E-02,6.91E-02,2.85E-01,8,865,Not eroded,0,1,1,1,1,1,0,0,0,0,0
867,2.47E-01,2.19E-01,2.85E-01,5,867,Not eroded,0,1,1,1,1,1,0,0,0,0,1
871,5.62E-02,1.99E-01,2.44E-01,0,871,Not eroded,0,1,1,1,1,0,1,1,1,1,1
878,8.57E-02,9.14E-02,2.87E-01,0,878,Not eroded,0,1,1,1,1,1,1,1,1,1,1
884,1.55E-01,2.78E-01,2.79E-01,0,884,Not eroded,0,1,1,1,1,1,1,1,1,1,1
895,1.46E-01,2.77E-01,2.83E-01,0,895,Not eroded,0,1,1,1,1,1,1,1,1,1,1
897,2.10E-01,6.85E-02,3.01E-01,0,897,ERODED,1,1,1,1,1,1,1,1,1,1,1
898,2.29E-01,2.55E-01,2.73E-01,3,898,Not eroded,0,1,1,1,1,1,1,0,0,1,1
899,2.96E-01,3.02E-01,2.71E-01,0,899,Not eroded,0,1,1,1,1,1,1,1,1,1,1
901,2.87E-01,1.37E-01,2.56E-01,2,901,Not eroded,0,1,1,1,1,1,1,0,1,1,1
