Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.21,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
452,2.48E-01,1.17E-01,0.2374066,4,452,Not eroded,0,1,1,1,1,0,0,0,0,0,1,1
454,2.58E-01,3.20E-01,0.2443058,4,454,Not eroded,0,1,1,1,1,1,0,0,0,0,1,1
456,1.24E-01,1.51E-01,0.2579831,3,456,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
459,2.12E-01,1.29E-01,0.2325981,4,459,Not eroded,0,1,1,1,1,0,0,0,0,0,1,1
460,1.24E-01,2.53E-01,0.2584174,0,460,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
465,1.55E-01,3.24E-01,0.2852486,0,465,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
467,2.19E-01,1.08E-01,0.3241594,0,467,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
469,2.74E-01,7.31E-02,0.2700513,0,469,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
471,1.11E-01,1.22E-01,0.2159702,0,471,Not eroded,0,1,1,0,0,0,0,1,1,1,1,1
474,2.46E-01,1.16E-01,0.2807302,4,474,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
479,1.06E-01,5.58E-02,0.2373633,4,479,Not eroded,0,1,1,1,1,0,0,0,0,0,1,1
482,1.20E-01,2.82E-01,0.2278409,0,482,ERODED,1,1,1,1,0,0,0,1,1,1,1,1
484,2.95E-01,7.63E-02,0.2796219,4,484,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
486,1.49E-01,2.72E-01,0.256124,0,486,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
489,1.26E-01,2.91E-01,0.2811184,0,489,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
490,3.14E-01,5.60E-02,0.2830394,3,490,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
493,2.64E-01,7.69E-02,0.2720094,4,493,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
494,8.58E-02,2.36E-01,0.2899744,0,494,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
499,3.06E-01,2.02E-01,0.290434,3,499,Not eroded,0,1,1,1,1,1,1,1,0,0,1,1
505,7.52E-02,2.86E-01,0.2177929,0,505,Not eroded,0,1,1,0,0,0,0,1,1,1,1,1
507,2.05E-01,1.71E-01,0.2211216,3,507,Not eroded,0,1,1,1,0,0,0,1,0,0,1,1
509,2.04E-01,2.29E-01,0.2395646,4,509,Not eroded,0,1,1,1,1,0,0,0,0,0,1,1
511,2.93E-01,2.42E-01,0.2888909,0,511,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
513,5.80E-02,1.67E-01,0.284077,4,513,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
515,1.81E-01,2.00E-01,0.2987962,0,515,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
523,7.71E-02,5.59E-02,0.2425983,4,523,Not eroded,0,1,1,1,1,1,0,0,0,0,1,1
524,7.61E-02,2.76E-01,0.2878653,0,524,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
528,2.99E-01,3.18E-01,0.2727158,0,528,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
531,3.02E-01,2.21E-01,0.2326777,5,531,Not eroded,0,1,1,1,1,0,0,0,0,0,0,1
532,2.94E-01,1.07E-01,0.2200128,0,532,Not eroded,0,1,1,1,0,0,0,1,1,1,1,1
533,8.53E-02,2.27E-01,0.2949918,0,533,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
535,8.70E-02,1.70E-01,0.3216912,0,535,ERODED,1,1,1,1,1,1,1,1,1,1,1,1
542,2.41E-01,1.24E-01,0.2708357,4,542,Not eroded,0,1,1,1,1,1,1,0,0,0,1,1
543,3.17E-01,1.87E-01,0.2293525,5,543,Not eroded,0,1,1,1,0,0,0,0,0,0,0,1
546,1.89E-01,1.46E-01,0.2941189,0,546,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
547,2.15E-01,9.65E-02,0.2761988,0,547,Not eroded,0,1,1,1,1,1,1,1,1,1,1,1
